"";"x"
"1";6.99433035309534
"2";6.99646910139052
"3";7.12612462118549
"4";7.30312040129342
"5";7.50697151959072
"6";7.73934877486411
"7";7.99380027192175
"8";8.24029595221443
"9";8.49888600730023
"10";8.75849064771985
"11";9.00407952538935
"12";9.24216207971413
"13";9.46011458782453
"14";9.65852420625455
"15";9.83313626350762
"16";9.98404887090819
"17";10.1111946677757
"18";10.2155770285403
"19";10.2983353873835
"20";10.3612434761942
"21";10.4057915513606
"22";10.4335999418022
"23";10.4463250409331
"24";10.4454661355991
"25";10.4325956730391
"26";10.4091873748344
"27";10.3767342405249
"28";10.3366759688291
"29";10.2904283457181
"30";10.2393574916012
"31";10.1847820983911
"32";10.1279543260386
"33";10.0700573020975
"34";10.0121923620396
"35";9.95536957854471
"36";9.9004997024243
